1.00760341,-0.05045385,1.32299113,0.00000000,0.00000000,0.00000000
1.00056601,0.00490228,1.28611028,0.00000000,0.00000000,0.00000000
1.01117074,0.00790387,1.31428564,0.00000000,0.00000000,0.00000000
1.01753986,0.05086568,1.31645679,0.00000000,0.00000000,0.00000000
1.01473808,0.06626159,1.30558026,0.00000000,0.00000000,0.00000000
1.01860285,0.08461835,1.27386630,0.00000000,0.00000000,0.00000000
1.02797258,0.03329925,1.37617660,0.00000000,0.00000000,0.00000000
1.03451383,0.09682909,1.34680343,0.00000000,0.00000000,0.00000000
1.04284132,0.08985147,1.36696267,0.00000000,0.00000000,0.00000000
1.04573703,0.10986046,1.31962693,0.00000000,0.00000000,0.00000000
1.04252326,0.12638885,1.38039052,0.00000000,0.00000000,0.00000000
1.05500436,0.15638156,1.27323925,0.00000000,0.00000000,0.00000000
1.05771017,0.14640370,1.35774875,0.00000000,0.00000000,0.00000000
1.05879831,0.18124181,1.37532842,0.00000000,0.00000000,0.00000000
1.07287121,0.13510256,1.36538768,0.00000000,0.00000000,0.00000000
1.07025433,0.17858757,1.37843621,0.00000000,0.00000000,0.00000000
1.08024299,0.23178652,1.36702454,0.00000000,0.00000000,0.00000000
1.08692312,0.16464385,1.32265413,0.00000000,0.00000000,0.00000000
1.09706736,0.21167718,1.27651739,0.00000000,0.00000000,0.00000000
1.09556288,0.23003674,1.37783611,0.00000000,0.00000000,0.00000000
1.11884177,0.17290616,1.37206912,0.00000000,0.00000000,0.00000000
1.11951339,0.27457920,1.37821496,0.00000000,0.00000000,0.00000000
1.10848010,0.28116834,1.35748374,0.00000000,0.00000000,0.00000000
1.12996650,0.20766020,1.32579124,0.00000000,0.00000000,0.00000000
1.12748265,0.27733257,1.38305259,0.00000000,0.00000000,0.00000000
1.15265810,0.26520815,1.28178787,0.00000000,0.00000000,0.00000000
1.15501279,0.31728861,1.38316506,0.00000000,0.00000000,0.00000000
1.14334679,0.32826298,1.34817231,0.00000000,0.00000000,0.00000000
1.16286576,0.20364322,1.37506533,0.00000000,0.00000000,0.00000000
1.18382645,0.24993934,1.32976592,0.00000000,0.00000000,0.00000000
1.18756759,0.35637823,1.37570107,0.00000000,0.00000000,0.00000000
1.19400322,0.35324237,1.39636588,0.00000000,0.00000000,0.00000000
1.19624305,0.38274655,1.33658397,0.00000000,0.00000000,0.00000000
1.21499479,0.23467050,1.37774396,0.00000000,0.00000000,0.00000000
1.23560905,-0.04275831,1.34616125,0.00000000,0.00000000,0.00000000
1.23435485,-0.02732068,1.32561159,0.00000000,0.00000000,0.00000000
1.23776150,-0.00668629,1.31042600,0.00000000,0.00000000,0.00000000
1.22060764,0.31320557,1.28772318,0.00000000,0.00000000,0.00000000
1.23849487,0.39999017,1.37383306,0.00000000,0.00000000,0.00000000
1.23178828,0.38449350,1.40322971,0.00000000,0.00000000,0.00000000
1.24101698,-0.04147782,1.37038255,0.00000000,0.00000000,0.00000000
1.24161565,-0.02709400,1.29905987,0.00000000,0.00000000,0.00000000
1.24350870,-0.03744178,1.32060802,0.00000000,0.00000000,0.00000000
1.24551237,-0.03192307,1.34482920,0.00000000,0.00000000,0.00000000
1.24903953,-0.00031907,1.26858568,0.00000000,0.00000000,0.00000000
1.24482894,-0.00693780,1.28117251,0.00000000,0.00000000,0.00000000
1.24516952,-0.00278156,1.38545752,0.00000000,0.00000000,0.00000000
1.25400710,0.01632457,1.23034310,0.00000000,0.00000000,0.00000000
1.24983013,0.00237008,1.24914944,0.00000000,0.00000000,0.00000000
1.25258422,0.01546398,1.26812172,0.00000000,0.00000000,0.00000000
1.24705100,0.02138636,1.29654062,0.00000000,0.00000000,0.00000000
1.24723291,0.28856352,1.33422756,0.00000000,0.00000000,0.00000000
1.26022947,0.43080395,1.32418418,0.00000000,0.00000000,0.00000000
1.26482630,0.03747682,1.21488023,0.00000000,0.00000000,0.00000000
1.27050173,0.03535321,1.29524815,0.00000000,0.00000000,0.00000000
1.27350426,0.02351322,1.37644899,0.00000000,0.00000000,0.00000000
1.27978802,0.05913929,1.20406210,0.00000000,0.00000000,0.00000000
1.26695597,0.04365987,1.25644469,0.00000000,0.00000000,0.00000000
1.26365793,0.05536314,1.28521574,0.00000000,0.00000000,0.00000000
1.27967882,0.07927011,1.29832554,0.00000000,0.00000000,0.00000000
1.27385831,0.26392144,1.38073194,0.00000000,0.00000000,0.00000000
1.28160584,0.05688026,1.41279459,0.00000000,0.00000000,0.00000000
